msg,cat,idx
12 12 12 12 12 12 5 0,1 1 1 1 1,34398
12 12 12 12 12 12 5 0,1 1 1 1 1,172908
12 12 12 12 12 12 5 0,1 1 1 1 1,233172
12 12 12 12 12 12 5 0,1 1 1 1 1,10098
12 12 12 12 12 12 5 0,1 1 1 1 1,134271
12 12 12 12 12 12 5 0,1 1 1 1 1,177768
12 12 12 12 12 12 5 0,1 1 1 1 1,109242
12 12 12 12 12 12 5 0,1 1 1 1 1,105354
12 12 12 12 12 12 5 0,1 1 1 1 1,107298
12 12 12 12 12 12 5 0,1 1 1 1 1,33912
12 12 12 12 12 12 5 0,1 1 1 1 1,150309
12 12 12 12 12 12 5 0,1 1 1 1 1,176553
12 12 12 12 12 12 5 0,1 1 1 1 1,161973
12 12 12 12 12 12 5 0,1 1 1 1 1,101952
12 12 12 12 12 12 5 0,1 1 1 1 1,172422
12 12 12 12 12 12 5 0,1 1 1 1 1,121635
12 12 12 12 12 12 5 0,1 1 1 1 1,23706
12 12 12 12 12 12 5 0,1 1 1 1 1,74250
12 12 12 12 12 12 5 0,1 1 1 1 1,234630
12 12 12 12 12 12 5 0,1 1 1 1 1,148851
12 12 12 12 12 12 5 0,1 1 1 1 1,23706
12 12 12 12 12 12 5 0,1 1 1 1 1,98064
12 12 12 12 12 12 5 0,1 1 1 1 1,80325
12 12 12 12 12 12 5 0,1 1 1 1 1,181413
12 12 12 12 12 12 5 0,1 1 1 1 1,237303
12 12 12 12 12 12 5 0,1 1 1 1 1,233901
12 12 12 12 12 12 5 0,1 1 1 1 1,16173
12 12 12 12 12 12 5 0,1 1 1 1 1,99765
12 12 12 12 12 12 5 0,1 1 1 1 1,119448
12 12 12 12 12 12 5 0,1 1 1 1 1,156870
12 12 12 12 12 12 5 0,1 1 1 1 1,92961
12 12 12 12 12 12 5 0,1 1 1 1 1,225396
12 12 12 12 12 12 5 0,1 1 1 1 1,26622
12 12 12 12 12 12 5 0,1 1 1 1 1,213975
12 12 12 12 12 12 5 0,1 1 1 1 1,144477
12 12 12 12 12 12 5 0,1 1 1 1 1,56997
12 12 12 12 12 12 5 0,1 1 1 1 1,206442
12 12 12 12 12 12 5 0,1 1 1 1 1,138888
12 12 12 12 12 12 5 0,1 1 1 1 1,154683
12 12 12 12 12 12 5 0,1 1 1 1 1,54567
12 12 12 12 12 12 5 0,1 1 1 1 1,186516
12 12 12 12 12 12 5 0,1 1 1 1 1,54810
12 12 12 12 12 12 5 0,1 1 1 1 1,22977
12 12 12 12 12 12 5 0,1 1 1 1 1,116289
12 12 12 12 12 12 5 0,1 1 1 1 1,101952
12 12 12 12 12 12 5 0,1 1 1 1 1,240705
12 12 12 12 12 12 5 0,1 1 1 1 1,202311
12 12 12 12 12 12 5 0,1 1 1 1 1,63315
12 12 12 12 12 12 5 0,1 1 1 1 1,114102
12 12 12 12 12 12 5 0,1 1 1 1 1,216405
12 12 12 12 12 12 5 0,1 1 1 1 1,162945
12 12 12 12 12 12 5 0,1 1 1 1 1,218349
12 12 12 12 12 12 5 0,1 1 1 1 1,126252
12 12 12 12 12 12 5 0,1 1 1 1 1,52380
12 12 12 12 12 12 5 0,1 1 1 1 1,18603
12 12 12 12 12 12 5 0,1 1 1 1 1,74250
12 12 12 12 12 12 5 0,1 1 1 1 1,34398
12 12 12 12 12 12 5 0,1 1 1 1 1,77409
12 12 12 12 12 12 5 0,1 1 1 1 1,27594
12 12 12 12 12 12 5 0,1 1 1 1 1,182871
12 12 12 12 12 12 5 0,1 1 1 1 1,216162
12 12 12 12 12 12 5 0,1 1 1 1 1,22248
12 12 12 12 12 12 5 0,1 1 1 1 1,22248
12 12 12 12 12 12 5 0,1 1 1 1 1,10827
12 12 12 12 12 12 5 0,1 1 1 1 1,206442
12 12 12 12 12 12 5 0,1 1 1 1 1,30024
12 12 12 12 12 12 5 0,1 1 1 1 1,108999
12 12 12 12 12 12 5 0,1 1 1 1 1,57969
12 12 12 12 12 12 5 0,1 1 1 1 1,86157
12 12 12 12 12 12 5 0,1 1 1 1 1,225396
12 12 12 12 12 12 5 0,1 1 1 1 1,27108
12 12 12 12 12 12 5 0,1 1 1 1 1,172422
12 12 12 12 12 12 5 0,1 1 1 1 1,232929
12 12 12 12 12 12 5 0,1 1 1 1 1,151767
12 12 12 12 12 12 5 0,1 1 1 1 1,143019
12 12 12 12 12 12 5 0,1 1 1 1 1,54567
12 12 12 12 12 12 5 0,1 1 1 1 1,151767
12 12 12 12 12 12 5 0,1 1 1 1 1,209601
12 12 12 12 12 12 5 0,1 1 1 1 1,101952
12 12 12 12 12 12 5 0,1 1 1 1 1,216891
12 12 12 12 12 12 5 0,1 1 1 1 1,18603
12 12 12 12 12 12 5 0,1 1 1 1 1,30024
12 12 12 12 12 12 5 0,1 1 1 1 1,62829
12 12 12 12 12 12 5 0,1 1 1 1 1,19818
12 12 12 12 12 12 5 0,1 1 1 1 1,161973
12 12 12 12 12 12 5 0,1 1 1 1 1,181413
12 12 12 12 12 12 5 0,1 1 1 1 1,29781
12 12 12 12 12 12 5 0,1 1 1 1 1,215676
12 12 12 12 12 12 5 0,1 1 1 1 1,152496
12 12 12 12 12 12 5 0,1 1 1 1 1,228312
12 12 12 12 12 12 5 0,1 1 1 1 1,46791
12 12 12 12 12 12 5 0,1 1 1 1 1,19575
12 12 12 12 12 12 5 0,1 1 1 1 1,86157
12 12 12 12 12 12 5 0,1 1 1 1 1,36585
12 12 12 12 12 12 5 0,1 1 1 1 1,112401
12 12 12 12 12 12 5 0,1 1 1 1 1,10827
12 12 12 12 12 12 5 0,1 1 1 1 1,22977
12 12 12 12 12 12 5 0,1 1 1 1 1,32454
12 12 12 12 12 12 5 0,1 1 1 1 1,99279
12 12 12 12 12 12 5 0,1 1 1 1 1,215676
12 12 12 12 12 12 5 0,1 1 1 1 1,167076
12 12 12 12 12 12 5 0,1 1 1 1 1,184572
12 12 12 12 12 12 5 0,1 1 1 1 1,194292
12 12 12 12 12 12 5 0,1 1 1 1 1,240705
12 12 12 12 12 12 5 0,1 1 1 1 1,51165
12 12 12 12 12 12 5 0,1 1 1 1 1,110214
12 12 12 12 12 12 5 0,1 1 1 1 1,213489
12 12 12 12 12 12 5 0,1 1 1 1 1,184572
12 12 12 12 12 12 5 0,1 1 1 1 1,85428
12 12 12 12 12 12 5 0,1 1 1 1 1,62829
12 12 12 12 12 12 5 0,1 1 1 1 1,70119
12 12 12 12 12 12 5 0,1 1 1 1 1,32454
12 12 12 12 12 12 5 0,1 1 1 1 1,176553
12 12 12 12 12 12 5 0,1 1 1 1 1,68175
12 12 12 12 12 12 5 0,1 1 1 1 1,99279
12 12 12 12 12 12 5 0,1 1 1 1 1,54081
12 12 12 12 12 12 5 0,1 1 1 1 1,151524
12 12 12 12 12 12 5 0,1 1 1 1 1,83241
12 12 12 12 12 12 5 0,1 1 1 1 1,22248
12 12 12 12 12 12 5 0,1 1 1 1 1,218349
12 12 12 12 12 12 5 0,1 1 1 1 1,27594
12 12 12 12 12 12 5 0,1 1 1 1 1,121635
12 12 12 12 12 12 5 0,1 1 1 1 1,180684
12 12 12 12 12 12 5 0,1 1 1 1 1,200610
12 12 12 12 12 12 5 0,1 1 1 1 1,151767
12 12 12 12 12 12 5 0,1 1 1 1 1,127224
12 12 12 12 12 12 5 0,1 1 1 1 1,30024
12 12 12 12 12 12 5 0,1 1 1 1 1,33426
12 12 12 12 12 12 5 0,1 1 1 1 1,70119
12 12 12 12 12 12 5 0,1 1 1 1 1,77409
12 12 12 12 12 12 5 0,1 1 1 1 1,141318
12 12 12 12 12 12 5 0,1 1 1 1 1,132084
12 12 12 12 12 12 5 0,1 1 1 1 1,233901
12 12 12 12 12 12 5 0,1 1 1 1 1,121635
12 12 12 12 12 12 5 0,1 1 1 1 1,207414
12 12 12 12 12 12 5 0,1 1 1 1 1,86157
12 12 12 12 12 12 5 0,1 1 1 1 1,105354
12 12 12 12 12 12 5 0,1 1 1 1 1,216405
12 12 12 12 12 12 5 0,1 1 1 1 1,182871
12 12 12 12 12 12 5 0,1 1 1 1 1,21519
12 12 12 12 12 12 5 0,1 1 1 1 1,77409
12 12 12 12 12 12 5 0,1 1 1 1 1,117747
12 12 12 12 12 12 5 0,1 1 1 1 1,107298
12 12 12 12 12 12 5 0,1 1 1 1 1,63315
12 12 12 12 12 12 5 0,1 1 1 1 1,213489
12 12 12 12 12 12 5 0,1 1 1 1 1,35856
12 12 12 12 12 12 5 0,1 1 1 1 1,135486
12 12 12 12 12 12 5 0,1 1 1 1 1,12528
12 12 12 12 12 12 5 0,1 1 1 1 1,62829
12 12 12 12 12 12 5 0,1 1 1 1 1,169749
12 12 12 12 12 12 5 0,1 1 1 1 1,162945
12 12 12 12 12 12 5 0,1 1 1 1 1,16173
12 12 12 12 12 12 5 0,1 1 1 1 1,10098
12 12 12 12 12 12 5 0,1 1 1 1 1,202311
12 12 12 12 12 12 5 0,1 1 1 1 1,88101
12 12 12 12 12 12 5 0,1 1 1 1 1,237789
12 12 12 12 12 12 5 0,1 1 1 1 1,206928
12 12 12 12 12 12 5 0,1 1 1 1 1,116289
12 12 12 12 12 12 5 0,1 1 1 1 1,207414
12 12 12 12 12 12 5 0,1 1 1 1 1,135486
12 12 12 12 12 12 5 0,1 1 1 1 1,211302
12 12 12 12 12 12 5 0,1 1 1 1 1,161001
12 12 12 12 12 12 5 0,1 1 1 1 1,190647
12 12 12 12 12 12 5 0,1 1 1 1 1,216162
12 12 12 12 12 12 5 0,1 1 1 1 1,10827
12 12 12 12 12 12 5 0,1 1 1 1 1,57483
12 12 12 12 12 12 5 0,1 1 1 1 1,20304
12 12 12 12 12 12 5 0,1 1 1 1 1,33183
12 12 12 12 12 12 5 0,1 1 1 1 1,169749
12 12 12 12 12 12 5 0,1 1 1 1 1,33912
12 12 12 12 12 12 5 0,1 1 1 1 1,197937
12 12 12 12 12 12 5 0,1 1 1 1 1,187731
12 12 12 12 12 12 5 0,1 1 1 1 1,54081
12 12 12 12 12 12 5 0,1 1 1 1 1,143019
12 12 12 12 12 12 5 0,1 1 1 1 1,152496
12 12 12 12 12 12 5 0,1 1 1 1 1,83727
12 12 12 12 12 12 5 0,1 1 1 1 1,50922
12 12 12 12 12 12 5 0,1 1 1 1 1,137673
12 12 12 12 12 12 5 0,1 1 1 1 1,213975
12 12 12 12 12 12 5 0,1 1 1 1 1,96363
12 12 12 12 12 12 5 0,1 1 1 1 1,81297
12 12 12 12 12 12 5 0,1 1 1 1 1,33426
12 12 12 12 12 12 5 0,1 1 1 1 1,113859
12 12 12 12 12 12 5 0,1 1 1 1 1,56511
12 12 12 12 12 12 5 0,1 1 1 1 1,207657
12 12 12 12 12 12 5 0,1 1 1 1 1,105111
12 12 12 12 12 12 5 0,1 1 1 1 1,167562
12 12 12 12 12 12 5 0,1 1 1 1 1,150795
12 12 12 12 12 12 5 0,1 1 1 1 1,211302
12 12 12 12 12 12 5 0,1 1 1 1 1,42660
12 12 12 12 12 12 5 0,1 1 1 1 1,127224
12 12 12 12 12 12 5 0,1 1 1 1 1,96363
12 12 12 12 12 12 5 0,1 1 1 1 1,39015
12 12 12 12 12 12 5 0,1 1 1 1 1,99765
12 12 12 12 12 12 5 0,1 1 1 1 1,169749
12 12 12 12 12 12 5 0,1 1 1 1 1,148851
12 12 12 12 12 12 5 0,1 1 1 1 1,181413
12 12 12 12 12 12 5 0,1 1 1 1 1,141318
12 12 12 12 12 12 5 0,1 1 1 1 1,149337
12 12 12 12 12 12 5 0,1 1 1 1 1,26622
12 12 12 12 12 12 5 0,1 1 1 1 1,144477
12 12 12 12 12 12 5 0,1 1 1 1 1,237303
12 12 12 12 12 12 5 0,1 1 1 1 1,141318
12 12 12 12 12 12 5 0,1 1 1 1 1,19818
12 12 12 12 12 12 5 0,1 1 1 1 1,68175
12 12 12 12 12 12 5 0,1 1 1 1 1,39015
12 12 12 12 12 12 5 0,1 1 1 1 1,219807
12 12 12 12 12 12 5 0,1 1 1 1 1,66960
12 12 12 12 12 12 5 0,1 1 1 1 1,108999
12 12 12 12 12 12 5 0,1 1 1 1 1,167076
12 12 12 12 12 12 5 0,1 1 1 1 1,86400
12 12 12 12 12 12 5 0,1 1 1 1 1,209601
12 12 12 12 12 12 5 0,1 1 1 1 1,166347
12 12 12 12 12 12 5 0,1 1 1 1 1,20304
12 12 12 12 12 12 5 0,1 1 1 1 1,219807
12 12 12 12 12 12 1 1 0,1 1 1 1 0,108515
12 12 12 12 12 12 1 1 0,1 1 1 1 0,122123
12 12 12 12 12 12 1 1 0,1 1 1 1 0,56756
12 12 12 12 12 12 1 1 0,1 1 1 1 0,121394
12 12 12 12 12 12 1 1 0,1 1 1 1 0,99038
12 12 12 12 12 12 1 1 0,1 1 1 1 0,161975
12 12 12 12 12 12 1 1 0,1 1 1 1 0,34643
12 12 12 12 12 12 1 1 0,1 1 1 1 0,115319
12 12 12 12 12 12 1 1 0,1 1 1 1 0,219809
12 12 12 12 12 12 1 1 0,1 1 1 1 0,102440
12 12 12 12 12 12 1 1 0,1 1 1 1 0,209603
12 12 12 12 12 12 1 1 0,1 1 1 1 0,37316
12 12 12 12 12 12 1 1 0,1 1 1 1 0,172667
12 12 12 12 12 12 1 1 0,1 1 1 1 0,209603
12 12 12 12 12 12 1 1 0,1 1 1 1 0,116777
12 12 12 12 12 12 1 1 0,1 1 1 1 0,202070
12 12 12 12 12 12 1 1 0,1 1 1 1 0,185789
12 12 12 12 12 12 1 1 0,1 1 1 1 0,28082
12 12 12 12 12 12 1 1 0,1 1 1 1 0,17147
12 12 12 12 12 12 1 1 0,1 1 1 1 0,52382
12 12 12 12 12 12 1 1 0,1 1 1 1 0,185789
12 12 12 12 12 12 1 1 0,1 1 1 1 0,100982
12 12 12 12 12 12 1 1 0,1 1 1 1 0,94907
12 12 12 12 12 12 1 1 0,1 1 1 1 0,41447
12 12 12 12 12 12 1 1 0,1 1 1 1 0,187004
12 12 12 12 12 12 1 1 0,1 1 1 1 0,188948
12 12 12 12 12 12 1 1 0,1 1 1 1 0,109730
12 12 12 12 12 12 1 1 0,1 1 1 1 0,115319
12 12 12 12 12 12 1 1 0,1 1 1 1 0,223454
12 12 12 12 12 12 1 1 0,1 1 1 1 0,134516
12 12 12 12 12 12 1 1 0,1 1 1 1 0,19091
12 12 12 12 12 12 1 1 0,1 1 1 1 0,189677
12 12 12 12 12 12 1 1 0,1 1 1 1 0,147881
12 12 12 12 12 12 1 1 0,1 1 1 1 0,81299
12 12 12 12 12 12 1 1 0,1 1 1 1 0,172667
12 12 12 12 12 12 1 1 0,1 1 1 1 0,13016
12 12 12 12 12 12 1 1 0,1 1 1 1 0,155657
12 12 12 12 12 12 1 1 0,1 1 1 1 0,48008
12 12 12 12 12 12 1 1 0,1 1 1 1 0,145694
12 12 12 12 12 12 1 1 0,1 1 1 1 0,60644
12 12 12 12 12 12 1 1 0,1 1 1 1 0,68663
12 12 12 12 12 12 1 1 0,1 1 1 1 0,124310
12 12 12 12 12 12 1 1 0,1 1 1 1 0,227585
12 12 12 12 12 12 1 1 0,1 1 1 1 0,35372
12 12 12 12 12 12 1 1 0,1 1 1 1 0,230015
12 12 12 12 12 12 1 1 0,1 1 1 1 0,134759
12 12 12 12 12 12 1 1 0,1 1 1 1 0,41447
12 12 12 12 12 12 1 1 0,1 1 1 1 0,89804
12 12 12 12 12 12 1 1 0,1 1 1 1 0,63317
12 12 12 12 12 12 1 1 0,1 1 1 1 0,76196
12 12 12 12 12 12 1 1 0,1 1 1 1 0,163190
12 12 12 12 12 12 1 1 0,1 1 1 1 0,143507
12 12 12 12 12 12 1 1 0,1 1 1 1 0,172667
12 12 12 12 12 12 1 1 0,1 1 1 1 0,183602
12 12 12 12 12 12 1 1 0,1 1 1 1 0,164405
12 12 12 12 12 12 1 1 0,1 1 1 1 0,241679
12 12 12 12 12 12 1 1 0,1 1 1 1 0,181172
12 12 12 12 12 12 1 1 0,1 1 1 1 0,12287
12 12 12 12 12 12 1 1 0,1 1 1 1 0,17147
12 12 12 12 12 12 1 1 0,1 1 1 1 0,116291
12 12 12 12 12 12 1 1 0,1 1 1 1 0,13745
12 12 12 12 12 12 1 1 0,1 1 1 1 0,178256
12 12 12 12 12 12 1 1 0,1 1 1 1 0,155900
12 12 12 12 12 12 1 1 0,1 1 1 1 0,108029
12 9 4 4 0,1 1 1 1 0,128927
12 12 12 12 12 12 1 1 0,1 1 1 1 0,206930
12 12 12 12 12 12 1 1 0,1 1 1 1 0,48008
12 12 12 12 12 12 1 1 0,1 1 1 1 0,149825
12 12 12 12 12 12 1 1 0,1 1 1 1 0,236333
12 12 12 12 12 12 1 1 0,1 1 1 1 0,102440
12 12 12 12 12 12 1 1 0,1 1 1 1 0,76196
12 12 12 12 12 12 1 1 0,1 1 1 1 0,52382
12 12 12 12 12 12 1 1 0,1 1 1 1 0,230015
12 12 12 12 12 12 1 1 0,1 1 1 1 0,159302
12 12 12 12 12 12 1 1 0,1 1 1 1 0,174368
12 12 12 12 12 12 1 1 0,1 1 1 1 0,43148
12 12 12 12 12 12 1 1 0,1 1 1 1 0,215435
12 12 12 12 12 12 1 1 0,1 1 1 1 0,185789
12 12 12 12 12 12 1 1 0,1 1 1 1 0,102197
12 12 12 12 12 12 1 1 0,1 1 1 1 0,205958
12 12 12 12 12 12 1 1 0,1 1 1 1 0,238034
12 12 12 12 12 12 1 1 0,1 1 1 1 0,141806
12 12 12 12 12 12 1 1 0,1 1 1 1 0,13016
12 12 12 12 12 12 1 1 0,1 1 1 1 0,141806
12 12 12 12 12 12 1 1 0,1 1 1 1 0,94421
12 12 12 12 12 12 1 1 0,1 1 1 1 0,187004
12 12 12 12 12 12 1 1 0,1 1 1 1 0,115319
12 12 12 12 12 12 1 1 0,1 1 1 1 0,149825
12 12 12 12 12 12 1 1 0,1 1 1 1 0,99038
12 12 12 12 12 12 1 1 0,1 1 1 1 0,155657
12 12 12 12 12 12 1 1 0,1 1 1 1 0,229529
12 12 12 12 12 12 1 1 0,1 1 1 1 0,218351
12 12 12 12 12 12 1 1 0,1 1 1 1 0,115319
12 12 12 12 12 12 1 1 0,1 1 1 1 0,100982
12 12 12 12 12 12 1 1 0,1 1 1 1 0,54812
12 12 12 12 12 12 1 1 0,1 1 1 1 0,12287
12 12 12 12 12 12 1 1 0,1 1 1 1 0,68663
12 12 12 12 12 12 1 1 0,1 1 1 1 0,194294
12 12 12 12 12 12 1 1 0,1 1 1 1 0,241679
12 12 12 12 12 12 1 1 0,1 1 1 1 0,122123
12 12 12 12 12 12 1 1 0,1 1 1 1 0,109001
12 12 12 12 12 12 1 1 0,1 1 1 1 0,33671
12 12 12 12 12 12 1 1 0,1 1 1 1 0,63317
12 12 12 12 12 12 1 1 0,1 1 1 1 0,168536
12 12 12 12 12 12 1 1 0,1 1 1 1 0,28082
12 12 12 12 12 12 1 1 0,1 1 1 1 0,141806
12 12 12 12 12 12 1 1 0,1 1 1 1 0,136946
12 12 12 12 12 12 1 1 0,1 1 1 1 0,203771
12 12 12 12 12 12 1 1 0,1 1 1 1 0,115319
12 12 12 12 12 12 1 1 0,1 1 1 1 0,126011
12 12 12 12 12 12 1 1 0,1 1 1 1 0,95150
12 12 12 12 12 12 1 1 0,1 1 1 1 0,114590
12 12 12 12 12 12 1 1 0,1 1 1 1 0,178256
12 12 12 12 12 12 1 1 0,1 1 1 1 0,9128
12 12 12 12 12 12 1 1 0,1 1 1 1 0,150797
12 12 12 12 12 12 1 1 0,1 1 1 1 0,114833
12 9 4 0,1 1 1 1 0,159788
12 12 12 12 12 12 1 1 0,1 1 1 1 0,140591
12 12 12 12 12 12 1 1 0,1 1 1 1 0,129170
12 12 12 12 12 12 1 1 0,1 1 1 1 0,623
12 12 12 12 12 12 1 1 0,1 1 1 1 0,205472
12 12 12 12 12 12 1 1 0,1 1 1 1 0,236333
12 12 12 12 12 12 1 1 0,1 1 1 1 0,52382
12 12 12 12 12 12 1 1 0,1 1 1 1 0,13016
12 12 12 12 12 12 1 1 0,1 1 1 1 0,60401
12 12 12 12 12 12 1 1 0,1 1 1 1 0,71579
12 12 12 12 12 12 1 1 0,1 1 1 1 0,13745
12 12 12 12 12 12 1 1 0,1 1 1 1 0,95150
12 12 12 12 12 12 1 1 0,1 1 1 1 0,124310
12 12 12 12 12 12 1 1 0,1 1 1 1 0,205472
12 12 12 12 12 12 1 1 0,1 1 1 1 0,115319
12 12 12 12 12 12 1 1 0,1 1 1 1 0,163190
12 12 12 12 12 12 1 1 0,1 1 1 1 0,78140
12 12 12 12 12 12 1 1 0,1 1 1 1 0,178256
12 12 12 12 12 12 1 1 0,1 1 1 1 0,124310
12 12 12 12 12 12 1 1 0,1 1 1 1 0,12044
12 12 12 12 12 12 1 1 0,1 1 1 1 0,189677
12 12 12 12 12 12 1 1 0,1 1 1 1 0,219809
12 12 12 12 12 12 1 1 0,1 1 1 1 0,159302
12 12 12 12 12 12 1 1 0,1 1 1 1 0,106571
12 12 12 12 12 12 1 1 0,1 1 1 1 0,203771
12 12 12 12 12 12 1 1 0,1 1 1 1 0,105113
12 12 12 12 12 12 1 1 0,1 1 1 1 0,52382
12 12 12 12 12 12 1 1 0,1 1 1 1 0,61859
12 12 12 12 12 12 1 1 0,1 1 1 1 0,204257
12 12 12 12 12 12 1 1 0,1 1 1 1 0,126011
12 12 12 12 12 12 1 1 0,1 1 1 1 0,34643
12 12 12 12 12 12 1 1 0,1 1 1 1 0,194294
12 12 12 12 12 12 1 1 0,1 1 1 1 0,147881
12 12 12 12 12 12 1 1 0,1 1 1 1 0,94907
12 12 12 12 12 12 1 1 0,1 1 1 1 0,162947
12 12 12 12 12 12 1 1 0,1 1 1 1 0,218351
12 12 12 12 12 12 1 1 0,1 1 1 1 0,93935
12 12 12 12 12 12 1 1 0,1 1 1 1 0,49466
12 12 12 12 12 12 1 1 0,1 1 1 1 0,159302
12 12 12 12 12 12 1 1 0,1 1 1 1 0,12044
12 12 12 12 12 12 1 1 0,1 1 1 1 0,119693
12 12 12 12 12 12 1 1 0,1 1 1 1 0,230015
12 12 12 12 12 12 1 1 0,1 1 1 1 0,188948
12 12 12 12 12 12 1 1 0,1 1 1 1 0,52382
12 12 12 12 12 12 1 1 0,1 1 1 1 0,172667
12 12 12 12 12 12 1 1 0,1 1 1 1 0,164405
12 12 12 12 12 12 1 1 0,1 1 1 1 0,145937
12 12 12 12 12 12 1 1 0,1 1 1 1 0,187004
12 12 12 12 12 12 1 1 0,1 1 1 1 0,27110
12 12 12 12 12 12 1 1 0,1 1 1 1 0,114833
12 12 12 12 12 12 1 1 0,1 1 1 1 0,119693
12 12 12 12 12 12 1 1 0,1 1 1 1 0,152741
12 12 12 12 12 12 1 1 0,1 1 1 1 0,78140
12 12 12 12 12 12 1 1 0,1 1 1 1 0,175826
12 12 12 12 12 12 1 1 0,1 1 1 1 0,159302
12 12 12 12 12 12 1 1 0,1 1 1 1 0,229529
12 12 12 12 12 12 1 1 0,1 1 1 1 0,17147
12 12 12 12 12 12 1 1 0,1 1 1 1 0,192593
12 12 12 12 12 12 1 1 0,1 1 1 1 0,109730
12 12 12 12 12 12 1 1 0,1 1 1 1 0,223940
12 12 12 12 12 12 1 1 0,1 1 1 1 0,163190
12 12 12 12 12 12 1 1 0,1 1 1 1 0,195023
12 12 12 12 12 12 1 1 0,1 1 1 1 0,174611
12 12 12 12 12 12 1 1 0,1 1 1 1 0,85430
12 12 12 12 12 12 1 1 0,1 1 1 1 0,80570
12 12 12 12 12 12 1 1 0,1 1 1 1 0,115319
12 12 12 12 12 12 1 1 0,1 1 1 1 0,155657
12 12 12 12 12 12 1 1 0,1 1 1 1 0,93935
12 12 12 12 12 12 1 1 0,1 1 1 1 0,205472
12 12 12 12 12 12 1 1 0,1 1 1 1 0,135974
12 12 12 12 12 12 1 1 0,1 1 1 1 0,28568
12 12 12 12 12 12 1 1 0,1 1 1 1 0,103412
12 12 12 12 12 12 1 1 0,1 1 1 1 0,163190
12 12 12 12 12 12 1 1 0,1 1 1 1 0,170723
12 12 12 12 12 12 1 1 0,1 1 1 1 0,234875
12 12 12 12 12 12 1 1 0,1 1 1 1 0,129170
